event_id,player_id,session_id,event_timestamp,event_name,event_properties
E00000001,P000001,S00000001,2024-02-08 19:22:00.000000,tutorial_completed,"{""duration_minutes"": 2}"
E00000002,P000001,S00000004,2024-02-20 18:05:25.663997,level_completed,"{""level"": 1, ""next_level"": 2}"
E00000003,P000001,S00000007,2024-03-01 14:33:53.412946,level_completed,"{""level"": 2, ""next_level"": 3}"
E00000004,P000001,S00000008,2024-03-04 14:23:33.186099,level_completed,"{""level"": 3, ""next_level"": 4}"
E00000005,P000001,S00000009,2024-03-10 13:49:43.919251,level_completed,"{""level"": 4, ""next_level"": 5}"
E00000006,P000001,S00000009,2024-03-10 13:51:58.764859,boss_defeated,"{""boss_level"": 5, ""attempts"": 3}"
E00000007,P000001,S00000010,2024-03-20 04:11:55.588171,level_completed,"{""level"": 5, ""next_level"": 6}"
E00000008,P000002,S00000011,2024-02-21 14:12:00.000000,tutorial_completed,"{""duration_minutes"": 2}"
E00000009,P000002,S00000011,2024-02-21 14:14:36.893363,level_completed,"{""level"": 1, ""next_level"": 2}"
E00000010,P000002,S00000012,2024-02-22 12:44:40.209990,level_completed,"{""level"": 2, ""next_level"": 3}"
E00000011,P000002,S00000014,2024-02-28 11:40:06.069785,level_completed,"{""level"": 3, ""next_level"": 4}"
E00000012,P000003,S00000018,2024-01-29 12:20:00.000000,tutorial_completed,"{""duration_minutes"": 2}"
E00000013,P000004,S00000023,2024-01-15 03:26:00.000000,tutorial_completed,"{""duration_minutes"": 2}"
E00000014,P000004,S00000026,2024-01-17 18:40:53.046602,level_completed,"{""level"": 1, ""next_level"": 2}"
E00000015,P000004,S00000028,2024-01-20 15:54:29.811098,level_completed,"{""level"": 2, ""next_level"": 3}"
E00000016,P000004,S00000030,2024-01-22 09:33:06.403037,level_completed,"{""level"": 3, ""next_level"": 4}"
E00000017,P000005,S00000039,2024-02-12 20:20:07.636501,level_completed,"{""level"": 1, ""next_level"": 2}"
E00000018,P000005,S00000040,2024-02-13 11:54:57.083493,level_completed,"{""level"": 2, ""next_level"": 3}"
E00000019,P000006,S00000044,2024-01-08 06:42:00.000000,tutorial_completed,"{""duration_minutes"": 2}"
E00000020,P000007,S00000048,2024-01-21 19:48:00.000000,tutorial_completed,"{""duration_minutes"": 2}"
E00000021,P000007,S00000049,2024-01-22 09:07:34.255255,level_completed,"{""level"": 1, ""next_level"": 2}"
E00000022,P000007,S00000051,2024-02-08 14:50:40.614653,level_completed,"{""level"": 2, ""next_level"": 3}"
E00000023,P000008,S00000054,2024-02-08 20:26:00.000000,tutorial_completed,"{""duration_minutes"": 2}"
E00000024,P000008,S00000058,2024-03-18 21:41:17.715294,level_completed,"{""level"": 1, ""next_level"": 2}"
E00000025,P000010,S00000063,2024-01-19 22:33:00.000000,tutorial_completed,"{""duration_minutes"": 2}"
E00000026,P000010,S00000065,2024-01-20 21:33:12.104003,level_completed,"{""level"": 1, ""next_level"": 2}"
E00000027,P000010,S00000067,2024-01-21 13:28:56.862092,level_completed,"{""level"": 2, ""next_level"": 3}"
E00000028,P000010,S00000071,2024-01-30 16:55:48.329704,level_completed,"{""level"": 3, ""next_level"": 4}"
E00000029,P000010,S00000076,2024-03-06 00:16:45.823751,level_completed,"{""level"": 4, ""next_level"": 5}"
E00000030,P000010,S00000076,2024-03-06 00:17:35.227144,boss_defeated,"{""boss_level"": 5, ""attempts"": 2}"
E00000031,P000011,S00000082,2024-01-23 20:31:00.000000,tutorial_completed,"{""duration_minutes"": 2}"
E00000032,P000011,S00000082,2024-01-23 20:42:29.791141,level_completed,"{""level"": 1, ""next_level"": 2}"
E00000033,P000011,S00000087,2024-02-29 20:41:33.360279,level_completed,"{""level"": 2, ""next_level"": 3}"
E00000034,P000012,S00000088,2024-01-11 20:26:00.000000,tutorial_completed,"{""duration_minutes"": 2}"
E00000035,P000012,S00000091,2024-01-15 00:50:14.462070,level_completed,"{""level"": 1, ""next_level"": 2}"
