transaction_id,player_id,session_id,transaction_timestamp,sku,price_usd,gems_purchased,platform
T00000001,P000001,S00000004,2024-02-20 17:59:43.330770,starter_pack,0.99,100,Android
T00000002,P000001,S00000005,2024-02-25 11:47:48.254824,starter_pack,0.99,100,Android
T00000003,P000001,S00000006,2024-02-26 15:30:34.170503,gem_pack_small,1.99,250,Android
T00000004,P000001,S00000010,2024-03-20 04:25:02.497241,starter_pack,0.99,100,Android
T00000005,P000002,S00000014,2024-02-28 11:40:59.065387,starter_pack,0.99,100,Android
T00000006,P000002,S00000015,2024-03-02 21:26:24.794178,gem_pack_small,1.99,250,Android
T00000007,P000002,S00000016,2024-03-06 11:38:37.886952,starter_pack,0.99,100,Android
T00000008,P000002,S00000017,2024-03-07 13:07:32.367884,starter_pack,0.99,100,Android
T00000009,P000004,S00000026,2024-01-17 18:40:01.345067,gem_pack_small,1.99,250,iOS
T00000010,P000004,S00000027,2024-01-19 22:30:50.120347,cosmetic_skin,3.99,0,iOS
T00000011,P000004,S00000028,2024-01-20 15:32:31.201250,gem_pack_small,1.99,250,iOS
T00000012,P000004,S00000029,2024-01-20 22:42:50.227525,starter_pack,0.99,100,iOS
T00000013,P000004,S00000030,2024-01-22 09:31:56.576731,gem_pack_large,9.99,1600,iOS
T00000014,P000004,S00000031,2024-01-22 16:42:25.021039,power_up_bundle,2.99,0,iOS
T00000015,P000004,S00000032,2024-01-24 21:57:05.063211,gem_pack_small,1.99,250,iOS
T00000016,P000004,S00000033,2024-01-24 18:05:34.639698,gem_pack_mega,19.99,3500,iOS
T00000017,P000004,S00000034,2024-02-10 13:37:53.258692,starter_pack,0.99,100,iOS
T00000018,P000004,S00000035,2024-02-10 12:11:29.274699,starter_pack,0.99,100,iOS
T00000019,P000004,S00000036,2024-02-12 22:42:51.588486,gem_pack_small,1.99,250,iOS
T00000020,P000004,S00000037,2024-02-29 07:12:20.290587,cosmetic_skin,3.99,0,iOS
T00000021,P000004,S00000038,2024-02-29 17:01:49.660744,starter_pack,0.99,100,iOS
T00000022,P000009,S00000062,2024-03-05 09:33:18.360632,starter_pack,0.99,100,iOS
T00000023,P000010,S00000066,2024-01-20 11:32:02.377915,starter_pack,0.99,100,Android
T00000024,P000010,S00000067,2024-01-21 13:27:44.266608,power_up_bundle,2.99,0,Android
T00000025,P000010,S00000069,2024-01-26 13:44:11.218103,cosmetic_skin,3.99,0,Android
T00000026,P000010,S00000070,2024-01-26 11:05:06.379351,cosmetic_skin,3.99,0,Android
T00000027,P000010,S00000071,2024-01-30 16:46:30.792267,gem_pack_small,1.99,250,Android
T00000028,P000010,S00000072,2024-02-10 16:21:43.095804,gem_pack_small,1.99,250,Android
T00000029,P000010,S00000073,2024-02-16 20:04:02.996530,gem_pack_medium,4.99,700,Android
T00000030,P000010,S00000074,2024-02-17 15:39:16.996442,starter_pack,0.99,100,Android
T00000031,P000010,S00000075,2024-02-17 19:16:16.298474,gem_pack_small,1.99,250,Android
T00000032,P000010,S00000076,2024-03-06 00:17:13.086266,power_up_bundle,2.99,0,Android
T00000033,P000010,S00000077,2024-03-06 18:51:39.940274,starter_pack,0.99,100,Android
T00000034,P000010,S00000078,2024-03-24 12:55:40.509553,starter_pack,0.99,100,Android
T00000035,P000010,S00000079,2024-03-24 05:37:35.788724,starter_pack,0.99,100,Android
T00000036,P000010,S00000080,2024-03-25 12:20:09.280854,starter_pack,0.99,100,Android
T00000037,P000010,S00000081,2024-03-25 14:45:43.192654,gem_pack_small,1.99,250,Android
T00000038,P000016,S00000118,2024-03-09 22:28:48.693519,starter_pack,0.99,100,Android
T00000039,P000016,S00000119,2024-03-12 22:06:49.540408,gem_pack_small,1.99,250,Android
T00000040,P000016,S00000120,2024-03-27 12:03:58.934682,power_up_bundle,2.99,0,Android
T00000041,P000018,S00000127,2024-02-01 14:50:11.447944,power_up_bundle,2.99,0,Android
T00000042,P000018,S00000128,2024-02-19 15:40:55.242685,power_up_bundle,2.99,0,Android
T00000043,P000018,S00000130,2024-03-08 22:54:12.392038,starter_pack,0.99,100,Android
T00000044,P000020,S00000142,2024-01-25 12:29:51.870578,starter_pack,0.99,100,iOS
T00000045,P000020,S00000147,2024-03-13 18:59:51.176505,starter_pack,0.99,100,iOS
T00000046,P000020,S00000148,2024-03-15 15:08:07.074488,power_up_bundle,2.99,0,iOS
T00000047,P000021,S00000151,2024-03-15 10:08:42.418761,starter_pack,0.99,100,Android
T00000048,P000023,S00000162,2024-02-17 05:48:34.586334,starter_pack,0.99,100,iOS
T00000049,P000024,S00000164,2024-02-29 18:48:23.414074,starter_pack,0.99,100,Android
T00000050,P000030,S00000198,2024-02-11 17:52:10.278932,starter_pack,0.99,100,Android
T00000051,P000034,S00000224,2024-02-23 20:02:38.597389,cosmetic_skin,3.99,0,Android
T00000052,P000035,S00000228,2024-02-03 20:38:08.255299,starter_pack,0.99,100,Android
T00000053,P000035,S00000230,2024-02-11 21:55:02.833719,gem_pack_small,1.99,250,Android
T00000054,P000038,S00000241,2024-03-13 13:52:00.115647,starter_pack,0.99,100,iOS
T00000055,P000043,S00000273,2024-02-07 20:57:05.162447,gem_pack_small,1.99,250,iOS
T00000056,P000043,S00000277,2024-03-11 13:26:01.406080,starter_pack,0.99,100,iOS
T00000057,P000046,S00000289,2024-02-24 08:08:18.558477,gem_pack_medium,4.99,700,iOS
T00000058,P000053,S00000331,2024-01-25 15:56:00.878612,gem_pack_small,1.99,250,Android
T00000059,P000053,S00000332,2024-02-10 15:34:26.836274,starter_pack,0.99,100,Android
T00000060,P000053,S00000333,2024-03-06 22:16:00.096264,starter_pack,0.99,100,Android
T00000061,P000056,S00000346,2024-03-05 21:00:03.290938,starter_pack,0.99,100,iOS
T00000062,P000056,S00000347,2024-03-06 16:35:28.336887,gem_pack_medium,4.99,700,iOS
T00000063,P000056,S00000348,2024-03-12 14:03:11.670766,starter_pack,0.99,100,iOS
T00000064,P000056,S00000349,2024-03-24 20:00:50.671287,power_up_bundle,2.99,0,iOS
T00000065,P000062,S00000385,2024-03-02 17:26:04.468532,power_up_bundle,2.99,0,Android
T00000066,P000064,S00000391,2024-01-13 08:38:08.856642,starter_pack,0.99,100,Android
T00000067,P000064,S00000392,2024-01-16 20:16:37.626574,gem_pack_small,1.99,250,Android
T00000068,P000064,S00000393,2024-01-16 22:17:33.606346,cosmetic_skin,3.99,0,Android
T00000069,P000064,S00000394,2024-01-20 04:33:37.086913,gem_pack_medium,4.99,700,Android
T00000070,P000064,S00000395,2024-01-20 01:08:14.133807,starter_pack,0.99,100,Android
T00000071,P000064,S00000396,2024-01-23 16:46:25.118355,gem_pack_large,9.99,1600,Android
T00000072,P000064,S00000397,2024-01-23 20:06:26.680763,power_up_bundle,2.99,0,Android
T00000073,P000064,S00000398,2024-01-28 18:29:41.524502,power_up_bundle,2.99,0,Android
T00000074,P000064,S00000399,2024-03-29 17:48:14.293406,cosmetic_skin,3.99,0,Android
