player_id,install_date,attribution_channel,country,device_type,tutorial_completed,experiment_variant,player_segment,lifetime_value
P000001,2024-02-08,facebook,US,Android,True,control,minnow,1.701785484299308
P000002,2024-02-21,tiktok,CA,Android,True,variant_a,minnow,2.2199217487321112
P000003,2024-01-29,organic,US,Android,True,variant_b,non_payer,0.0
P000004,2024-01-15,unity_ads,FR,iOS,True,variant_a,dolphin,74.2474135724746
P000005,2024-02-12,tiktok,UK,Android,False,control,non_payer,0.0
P000006,2024-01-08,organic,US,iOS,True,variant_a,non_payer,0.0
P000007,2024-01-21,organic,US,Android,True,variant_a,non_payer,0.0
P000008,2024-02-08,tiktok,FR,iOS,True,variant_a,non_payer,0.0
P000009,2024-02-27,facebook,JP,iOS,False,control,minnow,9.322628687418831
P000010,2024-01-19,organic,UK,Android,True,,dolphin,70.57762624634162
P000011,2024-01-23,organic,AU,iOS,True,variant_a,non_payer,0.0
P000012,2024-01-11,facebook,US,iOS,True,control,non_payer,0.0
P000013,2024-01-11,google,AU,iOS,True,variant_b,non_payer,0.0
P000014,2024-01-24,google,US,Android,True,variant_a,non_payer,0.0
P000015,2024-02-22,apple_search,CA,Android,True,variant_a,non_payer,0.0
P000016,2024-02-05,organic,DE,Android,True,variant_a,minnow,3.1969004276311774
P000017,2024-02-09,facebook,IN,Android,False,variant_b,non_payer,0.0
P000018,2024-01-24,facebook,UK,Android,False,,minnow,8.228938751929373
P000019,2024-01-03,facebook,JP,iOS,True,control,non_payer,0.0
P000020,2024-01-22,organic,AU,iOS,True,control,minnow,11.747380434363842
P000021,2024-02-22,apple_search,IN,Android,False,control,minnow,10.574269075237192
P000022,2024-01-02,unity_ads,UK,iOS,False,variant_a,non_payer,0.0
P000023,2024-01-24,facebook,UK,iOS,True,control,minnow,7.141629267969475
P000024,2024-02-13,google,BR,Android,True,variant_b,minnow,2.4490071868248178
P000025,2024-01-30,organic,US,Android,False,variant_a,non_payer,0.0
P000026,2024-02-07,facebook,US,iOS,True,variant_b,non_payer,0.0
P000027,2024-01-02,google,US,Android,False,variant_a,non_payer,0.0
P000028,2024-02-29,facebook,JP,Android,True,,non_payer,0.0
P000029,2024-01-21,apple_search,US,Android,True,control,non_payer,0.0
P000030,2024-02-02,google,BR,Android,True,variant_b,minnow,13.18910299496368
P000031,2024-01-12,facebook,CA,iOS,True,variant_b,non_payer,0.0
P000032,2024-02-27,google,US,Android,True,variant_b,non_payer,0.0
P000033,2024-01-22,organic,UK,Android,False,variant_a,non_payer,0.0
P000034,2024-02-13,facebook,US,Android,True,control,minnow,8.36686078581578
P000035,2024-01-25,organic,AU,Android,True,variant_b,minnow,13.45525063713513
P000036,2024-02-18,facebook,DE,iOS,True,variant_b,non_payer,0.0
P000037,2024-01-27,google,CA,Android,True,control,non_payer,0.0
P000038,2024-02-28,facebook,US,iOS,True,variant_a,minnow,7.141801558592162
P000039,2024-02-11,google,DE,Android,False,control,non_payer,0.0
P000040,2024-01-28,facebook,JP,Android,True,variant_b,non_payer,0.0
P000041,2024-02-29,organic,FR,Android,True,variant_b,non_payer,0.0
P000042,2024-01-16,unity_ads,JP,Android,False,variant_b,non_payer,0.0
P000043,2024-01-15,organic,US,iOS,True,variant_a,minnow,4.318182349126476
P000044,2024-02-16,organic,BR,iOS,False,control,non_payer,0.0
P000045,2024-02-20,facebook,UK,Android,False,variant_b,non_payer,0.0
P000046,2024-02-13,organic,US,iOS,True,variant_a,minnow,5.30378214337625
P000047,2024-02-24,organic,JP,iOS,True,control,non_payer,0.0
P000048,2024-02-21,google,IN,Android,False,variant_a,non_payer,0.0
P000049,2024-02-26,facebook,DE,iOS,True,control,non_payer,0.0
P000050,2024-01-03,facebook,US,Android,True,variant_b,non_payer,0.0
P000051,2024-02-06,tiktok,US,Android,True,control,non_payer,0.0
P000052,2024-02-20,facebook,CA,Android,True,variant_a,non_payer,0.0
P000053,2024-01-07,unity_ads,BR,Android,False,control,minnow,6.854090583592286
P000054,2024-01-21,organic,US,iOS,False,variant_b,non_payer,0.0
P000055,2024-01-09,facebook,JP,iOS,False,variant_a,non_payer,0.0
P000056,2024-02-08,unity_ads,US,iOS,False,variant_b,minnow,9.599123864660136
P000057,2024-01-18,facebook,JP,Android,True,variant_a,non_payer,0.0
P000058,2024-01-04,google,IN,iOS,True,control,non_payer,0.0
P000059,2024-01-25,facebook,UK,iOS,True,control,non_payer,0.0
P000060,2024-02-29,organic,UK,Android,True,,non_payer,0.0
P000061,2024-01-14,facebook,JP,iOS,False,variant_a,non_payer,0.0
P000062,2024-02-19,facebook,CA,Android,True,variant_b,minnow,11.764753835583788
P000063,2024-02-27,unity_ads,DE,Android,False,,non_payer,0.0
P000064,2024-01-09,organic,AU,Android,True,control,dolphin,39.411250548183745
